Group,ScientificName,Code,Count,NProgram,NYear,NState,Family,MigrationVerdict,Voltinism,HostPlant
Migratory,Atalopedes campestris,ATACAM,3406,4,30,6,Hesperiidae,Migrant,M,1
Migratory,Boloria selene,BOLOSEL,4950,4,35,6,Nymphalidae,Migrant,M,>1
Migratory,Colias cesonia,COLCES,1422,5,31,6,Pieridae,Partial migrant,M,1
Migratory,Danaus plexippus,DANPLE,158923,5,41,7,Nymphalidae,Migrant,M,>1
Migratory,Euptoieta claudia,EUPTCLA,2774,5,35,7,Nymphalidae,Migrant,M,>1
Migratory,Eurema lisa,EURLIS,14161,5,34,6,Pieridae,Migrant,M,1
Migratory,Eurema nicippe,EURNIC,3563,3,23,5,Pieridae,Migrant,M,1
Migratory,Hemiargus isola,HEMISO,80,2,21,4,Lycaenidae,Migrant,M,1
Migratory,Hylephila phyleus,HYLPHY,7869,5,28,6,Hesperiidae,Migrant,M,1
Migratory,Junonia coenia,JUNCOE,30352,5,34,7,Nymphalidae,Migrant,M,>1
Migratory,Libytheana carinenta,LIBCAR,2635,5,36,6,Nymphalidae,Migrant,M,1
Migratory,Nathalis iole,NATIOL,2069,4,27,6,Pieridae,Migrant,M,>1
Migratory,Nymphalis antiopa,NYMANT,10254,5,40,6,Nymphalidae,Partial migrant,M,>1
Migratory,Panoquina ocola,PANOCO,42,2,11,1,Hesperiidae,Migrant,M,1
Migratory,Phoebis sennae,PHOESEN,8499,5,31,5,Pieridae,Migrant,M,1
Migratory,Polygonia interrogationis,POLYINT,17993,5,41,7,Nymphalidae,Migrant,M,>1
Migratory,Pontia protodice,PONPRO,1367,5,36,6,Pieridae,Partial migrant,M,>1
Migratory,Pyrgus communis,PYRCOM,4884,5,33,6,Hesperiidae,Migrant,M,>1
Migratory,Vanessa atalanta,VANATA,76581,5,41,7,Nymphalidae,Migrant,M,>1
Migratory,Vanessa cardui,VANCAR,26390,5,37,7,Nymphalidae,Migrant,M,>1
Migratory,Vanessa virginiensis,VANVIR,9574,5,39,7,Nymphalidae,Partial migrant,M,>1
Resident Generalist,Callophrys augustinus,CALLAUG,30,1,10,2,Lycaenidae,Resident,M,>1
Resident Generalist,Celastrina ladon,CELLAD,72977,3,40,6,Lycaenidae,Resident,M,>1
Resident Generalist,Chlosyne gorgone,CHLOGOR,2105,3,33,3,Nymphalidae,Resident,M,>1
Resident Generalist,Coenonympha tullia,COETUL,370,3,22,3,Nymphalidae,Resident,M,>1
Resident Generalist,Erynnis icelus,ERYICE,1268,5,32,6,Hesperiidae,Resident,M,>1
Resident Generalist,Erynnis juvenalis,ERYJUV,5121,4,29,5,Hesperiidae,Resident,M,>1
Resident Generalist,Erynnis martialis,ERYMAR,196,4,25,6,Hesperiidae,Resident,B,>1
Resident Generalist,Erynnis persius,ERYPER,182,3,15,3,Hesperiidae,Resident,M,>1
Resident Generalist,Euphyes vestris,EUPYVES,15663,5,33,7,Hesperiidae,Resident,M,>1
Resident Generalist,Eurytides marcellus,EURYMAR,4600,3,33,5,Papilionidae,Resident,M,>1
Resident Generalist,Feniseca tarquinius,FENTAR,870,4,34,6,Lycaenidae,Resident,M,>1
Resident Generalist,Limenitis archippus,LIMARC,36746,5,40,7,Nymphalidae,Resident,M,>1
Resident Generalist,Limenitis arthemis,LIMART,717,1,26,6,Nymphalidae,Resident,M,>1
Resident Generalist,Lycaeides idas,LYCIDA,66,1,2,1,Lycaenidae,Resident,M,>1
Resident Generalist,Lycaena helloides,LYCAHEL,2388,5,31,6,Lycaenidae,Resident,M,>1
Resident Generalist,Lycaena phlaeas,LYCAPHL,23102,5,41,6,Lycaenidae,Resident,M,>1
Resident Generalist,Nymphalis milberti,NYMMIL,1552,3,35,6,Nymphalidae,Resident,M,>1
Resident Generalist,Papilio cresphontes,PAPCRE,4000,5,34,6,Papilionidae,Resident,M,>1
Resident Generalist,Papilio glaucus,PAPGLA,71690,5,41,7,Papilionidae,Resident,M,>1
Resident Generalist,Papilio polyxenes,PAPPOL,36834,5,41,7,Papilionidae,Resident,M,>1
Resident Generalist,Papilio troilus,PAPTRO,45470,5,39,5,Papilionidae,Resident,M,>1
Resident Generalist,Pholisora catullus,PHOLCAT,3820,5,36,6,Hesperiidae,Resident,M,>1
Resident Generalist,Pieris napi,PIENAP,808,3,34,3,Pieridae,Resident,M,>1
Resident Generalist,Pieris rapae,PIERAP,678488,5,41,7,Pieridae,Resident,M,>1
Resident Generalist,Poanes viator,POAVIA,7386,5,32,6,Hesperiidae,Resident,M,>1
Resident Generalist,Polygonia comma,POLYCOM,15742,5,41,6,Nymphalidae,Resident,B,>1
Resident Generalist,Polygonia faunus,POLYFAU,51,1,11,2,Nymphalidae,Resident,B,>1
Resident Generalist,Polygonia progne,POLYPRO,936,5,30,6,Nymphalidae,Resident,B,>1
Resident Generalist,Pompeius verna,POMVER,18442,5,36,6,Hesperiidae,Resident,M,>1
