ID,propLC,,
"arkansas,baxter",0.273653605,,
"arkansas,clay",0.806949856,,
"arkansas,fulton",0.454855279,,
"arkansas,marion",0.110865445,,
"arkansas,randolph",0.36443287,,
"arkansas,sharp",0.313734653,,
"colorado,adams",0.903735914,,
"colorado,alamosa",0.887665717,,
"colorado,arapahoe",0.861701908,,
"colorado,archuleta",0.366114171,,
"colorado,baca",0.993057105,,
"colorado,bent",0.98424909,,
"colorado,boulder",0.443127513,,
"colorado,chaffee",0.532883488,,
"colorado,cheyenne",0.99782895,,
"colorado,clear creek",0.367221621,,
"colorado,conejos",0.686970671,,
"colorado,costilla",0.695135179,,
"colorado,crowley",0.984652622,,
"colorado,custer",0.574730211,,
"colorado,delta",0.565651416,,
"colorado,denver",0.354308105,,
"colorado,dolores",0.242631301,,
"colorado,douglas",0.63248927,,
"colorado,eagle",0.409278112,,
"colorado,elbert",0.969958322,,
"colorado,el paso",0.809494942,,
"colorado,fremont",0.483355137,,
"colorado,garfield",0.430156059,,
"colorado,gilpin",0.216585635,,
"colorado,grand",0.440805098,,
"colorado,gunnison",0.420880098,,
"colorado,hinsdale",0.442086192,,
"colorado,huerfano",0.710651929,,
"colorado,jackson",0.583639743,,
"colorado,jefferson",0.385357547,,
"colorado,kiowa",0.994681325,,
"colorado,kit carson",0.995954305,,
"colorado,lake",0.507589274,,
"colorado,la plata",0.447301019,,
"colorado,larimer",0.484857962,,
"colorado,las animas",0.804058292,,
"colorado,lincoln",0.99769432,,
"colorado,logan",0.980112543,,
"colorado,mesa",0.449605697,,
"colorado,mineral",0.338579609,,
"colorado,moffat",0.82297113,,
"colorado,montezuma",0.3105563,,
"colorado,montrose",0.422552597,,
"colorado,morgan",0.972016908,,
"colorado,otero",0.982768904,,
"colorado,ouray",0.280057689,,
"colorado,park",0.600843098,,
"colorado,phillips",0.995289016,,
"colorado,pitkin",0.368252124,,
"colorado,prowers",0.984119855,,
"colorado,pueblo",0.918305529,,
"colorado,rio blanco",0.440463314,,
"colorado,rio grande",0.600396949,,
"colorado,routt",0.426988456,,
"colorado,saguache",0.611670973,,
"colorado,san juan",0.563012458,,
"colorado,san miguel",0.367565693,,
"colorado,sedgwick",0.980303343,,
"colorado,summit",0.425786387,,
"colorado,teller",0.398003334,,
"colorado,washington",0.995544142,,
"colorado,weld",0.968836113,,
"colorado,yuma",0.992423301,,
"connecticut,fairfield",0.208316886,,
"connecticut,hartford",0.215224638,,
"connecticut,litchfield",0.151567388,,
"connecticut,middlesex",0.152474465,,
"connecticut,new haven",0.185267892,,
"connecticut,new london",0.147753572,,
"connecticut,tolland",0.165033244,,
"connecticut,windham",0.154242213,,
"delaware,kent",0.630330885,,
"delaware,new castle",0.460272051,,
"delaware,sussex",0.553226062,,
"district of columbia,washington",0.160770201,,
"illinois,adams",0.694043547,,
"illinois,alexander",0.440059453,,
"illinois,bond",0.745986002,,
"illinois,boone",0.842744394,,
"illinois,brown",0.544001664,,
"illinois,bureau",0.86131736,,
"illinois,calhoun",0.372317055,,
"illinois,carroll",0.777588356,,
"illinois,cass",0.729478988,,
"illinois,champaign",0.898340457,,
"illinois,christian",0.888713595,,
"illinois,clark",0.713276655,,
"illinois,clay",0.756360809,,
"illinois,clinton",0.721960923,,
"illinois,coles",0.805833026,,
"illinois,cook",0.128618875,,
"illinois,crawford",0.734333062,,
"illinois,cumberland",0.765158627,,
"illinois,dekalb",0.898537678,,
"illinois,de witt",0.868395843,,
"illinois,douglas",0.917433677,,
"illinois,dupage",0.219491976,,
"illinois,edgar",0.879316597,,
"illinois,edwards",0.807328796,,
"illinois,effingham",0.728863691,,
"illinois,fayette",0.687134214,,
"illinois,ford",0.948459918,,
"illinois,franklin",0.646960486,,
"illinois,fulton",0.607057776,,
"illinois,gallatin",0.723604312,,
"illinois,greene",0.71704934,,
"illinois,grundy",0.820680583,,
"illinois,hamilton",0.758429103,,
"illinois,hancock",0.759625876,,
"illinois,hardin",0.262947947,,
"illinois,henderson",0.734483805,,
"illinois,henry",0.884184489,,
"illinois,iroquois",0.930469846,,
"illinois,jackson",0.491728028,,
"illinois,jasper",0.804550834,,
"illinois,jefferson",0.632438297,,
"illinois,jersey",0.59431482,,
"illinois,jo daviess",0.679783465,,
"illinois,johnson",0.392209503,,
"illinois,kane",0.638328869,,
"illinois,kankakee",0.861494958,,
"illinois,kendall",0.802546085,,
"illinois,knox",0.755898583,,
"illinois,lake",0.374439824,,
"illinois,lasalle",0.844779786,,
"illinois,lawrence",0.781637361,,
"illinois,lee",0.894915823,,
"illinois,livingston",0.93554831,,
"illinois,logan",0.91662604,,
"illinois,mcdonough",0.806196524,,
"illinois,mchenry",0.693699224,,
"illinois,mclean",0.899753983,,
"illinois,macon",0.83615499,,
"illinois,macoupin",0.730033804,,
"illinois,madison",0.621077888,,
"illinois,marion",0.673702603,,
"illinois,marshall",0.801172223,,
"illinois,mason",0.805034997,,
"illinois,massac",0.649044501,,
"illinois,menard",0.836643344,,
"illinois,mercer",0.827431255,,
"illinois,monroe",0.611048493,,
"illinois,montgomery",0.804694716,,
"illinois,morgan",0.799261976,,
"illinois,moultrie",0.855778176,,
"illinois,ogle",0.840996577,,
"illinois,peoria",0.620805008,,
"illinois,perry",0.690041973,,
"illinois,piatt",0.931221867,,
"illinois,pike",0.664054483,,
"illinois,pope",0.265400055,,
"illinois,pulaski",0.647606452,,
"illinois,putnam",0.664201907,,
"illinois,randolph",0.63450662,,
"illinois,richland",0.792881414,,
"illinois,rock island",0.591291295,,
"illinois,st. clair",0.628319905,,
"illinois,saline",0.651144768,,
"illinois,sangamon",0.790561589,,
"illinois,schuyler",0.561821825,,
"illinois,scott",0.726340067,,
"illinois,shelby",0.807670251,,
"illinois,stark",0.924094356,,
"illinois,stephenson",0.880027384,,
"illinois,tazewell",0.770166931,,
"illinois,union",0.405185779,,
"illinois,vermilion",0.851471296,,
"illinois,wabash",0.825656731,,
"illinois,warren",0.878644838,,
"illinois,washington",0.798828036,,
"illinois,wayne",0.802523535,,
"illinois,white",0.798055902,,
"illinois,whiteside",0.842840996,,
"illinois,will",0.609765269,,
"illinois,williamson",0.459311195,,
"illinois,winnebago",0.662043123,,
"illinois,woodford",0.803137872,,
"indiana,adams",0.888663318,,
"indiana,allen",0.703889499,,
"indiana,bartholomew",0.655582703,,
"indiana,benton",0.959304449,,
"indiana,blackford",0.867533228,,
"indiana,boone",0.880109414,,
"indiana,brown",0.129264438,,
"indiana,carroll",0.855833383,,
"indiana,cass",0.824041926,,
"indiana,clark",0.454973069,,
"indiana,clay",0.653231704,,
"indiana,clinton",0.915650639,,
"indiana,crawford",0.25782502,,
"indiana,daviess",0.762725684,,
"indiana,dearborn",0.392376601,,
"indiana,decatur",0.777218305,,
"indiana,dekalb",0.774641034,,
"indiana,delaware",0.810363439,,
"indiana,dubois",0.574987216,,
"indiana,elkhart",0.672997425,,
"indiana,fayette",0.671805516,,
"indiana,floyd",0.383771471,,
"indiana,fountain",0.778482281,,
"indiana,franklin",0.467094802,,
"indiana,fulton",0.856055744,,
"indiana,gibson",0.764226107,,
"indiana,grant",0.841361376,,
"indiana,greene",0.492393888,,
"indiana,hamilton",0.68928237,,
"indiana,hancock",0.85437865,,
"indiana,harrison",0.470368158,,
"indiana,hendricks",0.74559731,,
"indiana,henry",0.844633638,,
"indiana,howard",0.831288543,,
"indiana,huntington",0.804008663,,
"indiana,jackson",0.573635827,,
"indiana,jasper",0.848232622,,
"indiana,jay",0.870865981,,
"indiana,jefferson",0.418521177,,
"indiana,jennings",0.509647949,,
"indiana,johnson",0.69861214,,
"indiana,knox",0.822001064,,
"indiana,kosciusko",0.771257588,,
"indiana,lagrange",0.728392833,,
"indiana,lake",0.514715091,,
"indiana,laporte",0.711487199,,
"indiana,lawrence",0.454642758,,
"indiana,madison",0.83108318,,
"indiana,marion",0.31571233,,
"indiana,marshall",0.789481035,,
"indiana,martin",0.262847963,,
"indiana,miami",0.817776398,,
"indiana,monroe",0.252073385,,
"indiana,montgomery",0.860332089,,
"indiana,morgan",0.51544608,,
"indiana,newton",0.849835995,,
"indiana,noble",0.724790293,,
"indiana,ohio",0.393835345,,
"indiana,orange",0.38954645,,
"indiana,owen",0.360204579,,
"indiana,parke",0.556019867,,
"indiana,perry",0.259109297,,
"indiana,pike",0.512442454,,
"indiana,porter",0.647790148,,
"indiana,posey",0.735180819,,
"indiana,pulaski",0.836829008,,
"indiana,putnam",0.614488209,,
"indiana,randolph",0.894819395,,
"indiana,ripley",0.519611567,,
"indiana,rush",0.908866055,,
"indiana,st joseph",0.644595746,,
"indiana,scott",0.49787813,,
"indiana,shelby",0.877695742,,
"indiana,spencer",0.665390278,,
"indiana,starke",0.72118009,,
"indiana,steuben",0.634325295,,
"indiana,sullivan",0.669443468,,
"indiana,switzerland",0.355333594,,
"indiana,tippecanoe",0.765977278,,
"indiana,tipton",0.941152521,,
"indiana,union",0.741900037,,
"indiana,vanderburgh",0.551494728,,
"indiana,vermillion",0.685349508,,
"indiana,vigo",0.585149521,,
"indiana,wabash",0.794646093,,
"indiana,warren",0.825822423,,
"indiana,warrick",0.536738108,,
"indiana,washington",0.527055929,,
"indiana,wayne",0.762330653,,
"indiana,wells",0.888594549,,
"indiana,white",0.89304903,,
"indiana,whitley",0.803679223,,
"iowa,adair",0.938946814,,
"iowa,adams",0.893931299,,
"iowa,allamakee",0.568440952,,
"iowa,appanoose",0.688144518,,
"iowa,audubon",0.965163675,,
"iowa,benton",0.902379127,,
"iowa,black hawk",0.831387237,,
"iowa,boone",0.868767901,,
"iowa,bremer",0.869083397,,
"iowa,buchanan",0.905698678,,
"iowa,buena vista",0.947302948,,
"iowa,butler",0.91693678,,
"iowa,calhoun",0.969021075,,
"iowa,carroll",0.959319972,,
"iowa,cass",0.942255837,,
"iowa,cedar",0.890954564,,
"iowa,cerro gordo",0.913615738,,
"iowa,cherokee",0.951234585,,
"iowa,chickasaw",0.915421956,,
"iowa,clarke",0.76738106,,
"iowa,clay",0.95262589,,
"iowa,clayton",0.659192006,,
"iowa,clinton",0.86576696,,
"iowa,crawford",0.9587802,,
"iowa,dallas",0.836183799,,
"iowa,davis",0.735791526,,
"iowa,decatur",0.729427383,,
"iowa,delaware",0.867296514,,
"iowa,des moines",0.692702065,,
"iowa,dickinson",0.893564718,,
"iowa,dubuque",0.746041095,,
"iowa,emmet",0.944879157,,
"iowa,fayette",0.858249095,,
"iowa,floyd",0.913361595,,
"iowa,franklin",0.954081737,,
"iowa,fremont",0.877004015,,
"iowa,greene",0.947410002,,
"iowa,grundy",0.967927158,,
"iowa,guthrie",0.866243776,,
"iowa,hamilton",0.938750468,,
"iowa,hancock",0.966287503,,
"iowa,hardin",0.921003085,,
"iowa,harrison",0.870384296,,
"iowa,henry",0.781804129,,
"iowa,howard",0.931202586,,
"iowa,humboldt",0.942471306,,
"iowa,ida",0.978761276,,
"iowa,iowa",0.870353121,,
"iowa,jackson",0.692436111,,
"iowa,jasper",0.906425298,,
"iowa,jefferson",0.773090868,,
"iowa,johnson",0.782278954,,
"iowa,jones",0.819950282,,
