"GULocationID","state.county","Program","propOpen"
"NFJ-100","iowa,boone","NFJ",0.794435843629854
"NFJ-1008","iowa,allamakee","NFJ",0.390022397053347
"NFJ-101","indiana,boone","NFJ",0.53056241894626
"NFJ-102","missouri,boone","NFJ",0.445956108942565
"NFJ-105","minnesota,st. louis","NFJ",0.104806905685157
"NFJ-1061","ohio,adams","NFJ",0.222052039290857
"NFJ-1064","indiana,allen","NFJ",0.60432670790136
"NFJ-1068","ohio,richland","NFJ",0.524905578005683
"NFJ-1069","ohio,ashtabula","NFJ",0.43418566685621
"NFJ-1070","ohio,athens","NFJ",0.168586009039681
"NFJ-1072","wisconsin,iowa","NFJ",0.448408309258495
"NFJ-1076","wisconsin,bayfield","NFJ",0.306158124314429
"NFJ-1077","minnesota,st. louis","NFJ",0.107287768728447
"NFJ-1082","missouri,mississippi","NFJ",0.692775725380712
"NFJ-1095","illinois,cook","NFJ",0.0037493442316229
"NFJ-1113","ohio,clermont","NFJ",0.48628144408941
"NFJ-1120","minnesota,cook","NFJ",0.135402393726785
"NFJ-1126","ohio,delaware","NFJ",0.772433110643965
"NFJ-1127","michigan,monroe","NFJ",0.78845638815005
"NFJ-1132","missouri,lincoln","NFJ",0.520915190936873
"NFJ-1134","ohio,erie","NFJ",0.583731680026414
"NFJ-1144","michigan,genesee","NFJ",0.441723361832246
"NFJ-1149","indiana,greene","NFJ",0.54127588857115
"NFJ-1151","iowa,jackson","NFJ",0.567827047174622
"NFJ-1158","michigan,oakland","NFJ",0.305144253345856
"NFJ-1162","ohio,lake","NFJ",0.177849560590136
"NFJ-1168","michigan,kalamazoo","NFJ",0.44069571852822
"NFJ-1176","ohio,lake","NFJ",0.353239087328883
"NFJ-1177","iowa,winneshiek","NFJ",0.8749018643931
"NFJ-1187","ohio,lucas","NFJ",0.497477804681194
"NFJ-1191","illinois,mason","NFJ",0.813949094591025
"NFJ-1192","illinois,mcdonough","NFJ",0.641244015628153
"NFJ-1202","michigan,newaygo","NFJ",0.230191545017298
"NFJ-1204","indiana,noble","NFJ",0.709434225297342
"NFJ-1211","ohio,lucas","NFJ",0.644651642276184
"NFJ-1214","michigan,ottawa","NFJ",0.622361139389804
"NFJ-1215","michigan,lake","NFJ",0.153848552608167
