num,code,Family,wing,diapause,volt,host.specialist,moisture,opencanopy,canopy.specialist,disturb.affinity
1,EURNIC,Pieridae,3.94,A,M,1,0,0,-1,1
2,NYMMIL,Nymphalidae,4.92,A,M,0,2,0,-1,0
3,ANAAND,Nymphalidae,6.39,A,B,1,0,0,-1,-2
4,EUPTCLA,Nymphalidae,5.61,A,M,0,1,0,-1,1
5,HELILAV,Hesperiidae,3.65,A,M,1,0,0,0,0
6,HERSOS,Nymphalidae,3.33,A,M,NA,2,0,0,2
7,JUNCOE,Nymphalidae,5.02,A,M,0,0,1,0,2
8,JUNGEN,Nymphalidae,5.11,A,M,0,-2,2,1,2
9,NYMCAL,Nymphalidae,5.48,A,B,0,1,1,0,0
10,POLYCOM,Nymphalidae,5.18,A,B,0,2,0,-1,1
11,POLYFAU,Nymphalidae,4.87,A,B,0,2,-1,0,0
12,POLYGRA,Nymphalidae,4.59,A,U,0,1,0,-1,0
13,POLYINT,Nymphalidae,6.18,A,M,0,2,0,-1,2
14,POLYPRO,Nymphalidae,5.21,A,B,0,2,0,-1,2
15,POLYSAT,Nymphalidae,5.04,A,M,0,2,0,-1,2
16,LIBCAR,Nymphalidae,4.33,A,M,1,0,0,-1,2
17,URBDO1,Hesperiidae,3.56,A,M,0,0,1,0,2
18,URBPR3,Hesperiidae,4.22,A,M,0,-2,0,-1,2
19,VANVIR,Nymphalidae,5.34,A,M,0,0,1,0,2
20,COLEU1,Pieridae,5.25,A,B,1,2,-1,0,0
21,HABGRU,Lycaenidae,2.75,E,B,1,0,-1,0,0
22,LYCADIO,Lycaenidae,3.5,E,U,1,2,1,0,2
23,LYCAEPI,Lycaenidae,2.18,E,U,1,2,2,1,-2
24,LYCAGOR,Lycaenidae,3.65,E,U,1,-2,1,0,0
25,LYCAHET,Lycaenidae,3.03,E,U,1,0,1,0,0
26,LYCAHYL,Lycaenidae,3.66,E,M,1,2,1,0,0
27,LYCAMAR,Lycaenidae,2.8,E,B,0,2,0,0,-2
28,LYCAXAN,Lycaenidae,3.85,E,U,1,0,1,0,0
29,NEOPMEN,Pieridae,4.94,E,U,1,0,-1,0,0
30,LYCIDA,Lycaenidae,2.58,E,M,0,0,1,0,0
31,SATACA,Lycaenidae,2.95,E,U,1,2,1,0,2
32,SATCA2,Lycaenidae,2.88,E,U,0,-2,1,0,0
33,SATCA3,Lycaenidae,2.85,E,U,0,0,0,-1,2
34,SATEDW,Lycaenidae,2.89,E,U,1,-2,1,0,2
35,SATFAV,Lycaenidae,2.9,E,U,0,0,0,-1,0
36,SATFUL,Lycaenidae,2.69,E,U,1,0,2,1,2
37,SATLIP,Lycaenidae,2.83,E,U,0,2,1,0,0
38,SATSAE,Lycaenidae,2.75,E,U,0,-2,0,-1,0
39,SATSYL,Lycaenidae,2.74,E,U,1,0,1,0,-2
40,SATTIT,Lycaenidae,2.91,E,B,0,2,1,0,2
41,ADEBRE,Nymphalidae,7.23,L,M,1,2,0,-1,2
42,AMBBEL,Hesperiidae,3.02,L,M,1,2,0,0,0
43,AMBHEG,Hesperiidae,2.51,L,B,1,2,0,0,0
44,AMBVIA,Hesperiidae,2.53,L,B,1,2,-1,0,2
45,ANATLOG,Hesperiidae,3.08,L,B,1,2,1,0,2
46,SPEYAPH,Nymphalidae,6.91,L,U,1,2,0,-1,0
