Name,NSpp,trend.est,CredInt,trend.prob.neg
Overall,136,-0.30,(-0.33 to -0.26),1.00
Migratory,21,-0.02,(-0.14 to 0.1),0.60
Residents,115,-0.34,(-0.38 to -0.3),1.00
Generalists,60,-0.25,(-0.29 to -0.2),1.00
Specialists,76,-0.30,(-0.35 to -0.24),1.00
Multivoltine,102,-0.20,(-0.24 to -0.15),1.00
Univoltine,34,-0.62,(-0.75 to -0.48),1.00
Common,34,-0.04,(-0.07 to 0),0.98
Rare,34,-1.33,(-1.64 to -1.04),1.00
OverwinterEgg,13,-0.72,(-0.92 to -0.51),1.00
OverwinterLarva,66,-0.34,(-0.39 to -0.29),1.00
OverwinterPL,9,-0.18,(-0.34 to -0.03),0.99
OverwinterPupa,28,-0.18,(-0.27 to -0.09),1.00
OverwinterAdult,20,-0.12,(-0.2 to -0.04),1.00
