ScientificName,PercentTrend,ProbDecline,95% CI
Achalarus lyciades,-2.0,0.98,-3.9 to -0.1%
Amblyscirtes hegon,-1.4,0.88,-3.6 to 0.9%
Amblyscirtes vialis,-2.2,0.99,-4.1 to -0.4%
Anatrytone logan,-1.9,1.00,-3.3 to -0.6%
Ancyloxypha numitor,-0.7,0.85,-2.0 to 0.6%
Anthocharis midea,-0.4,0.60,-3.0 to 2.1%
Asterocampa celtis,-1.2,0.91,-2.6 to 0.5%
Asterocampa clyton,-1.3,0.97,-2.7 to 0.1%
Atalopedes campestris,-0.1,0.56,-1.8 to 1.6%
Atrytone arogos,-1.9,0.98,-4.0 to 0.0%
Atrytonopsis hianna,-1.0,0.81,-3.0 to 1.0%
Battus philenor,-1.0,0.90,-2.7 to 0.7%
Boloria bellona,-3.1,1.00,-4.7 to -1.6%
Boloria selene,-3.7,1.00,-5.1 to -2.2%
Calephelis borealis,-0.4,0.64,-2.6 to 1.8%
Calephelis mutica,-0.4,0.65,-2.4 to 1.5%
Callophrys augustinus,-1.3,0.86,-3.8 to 1.3%
Callophrys gryneus,-1.1,0.90,-2.9 to 0.6%
Callophrys henrici,-0.9,0.66,-5.4 to 3.5%
Callophrys irus,0.3,0.44,-4.7 to 5.2%
Callophrys niphon,-0.4,0.57,-4.4 to 3.3%
Callophrys polios,0.2,0.46,-4.5 to 5.4%
Calycopis cecrops,-1.9,0.98,-4.2 to 0.0%
Carterocephalus palaemon,-0.2,0.58,-2.2 to 1.9%
Celastrina ladon,-0.9,0.96,-2.1 to 0.1%
Cercyonis pegala,-5.0,1.00,-6.5 to -3.6%
Chlosyne gorgone,-4.7,1.00,-6.5 to -2.7%
Chlosyne harrisii,-1.1,0.80,-3.5 to 1.5%
Chlosyne nycteis,-1.8,0.99,-3.6 to -0.4%
Coenonympha tullia,-1.3,0.91,-3.5 to 0.6%
Colias cesonia,-1.8,0.98,-3.5 to -0.1%
Colias eurytheme/philodice,-1.6,1.00,-3.8 to -0.4%
Colias interior,-1.5,0.96,-3.1 to 0.2%
Cyllopsis gemma,-1.9,0.96,-4.1 to 0.2%
Danaus plexippus,-1.4,0.98,-2.3 to -0.3%
Enodia anthedon,-2.1,1.00,-3.4 to -1.0%
Epargyreus clarus,-0.9,0.90,-2.2 to 0.5%
Erynnis baptisiae,-0.4,0.69,-2.2 to 1.2%
Erynnis brizo,-1.8,0.80,-6.1 to 2.4%
Erynnis horatius,-1.9,0.99,-3.7 to -0.3%
Erynnis icelus,-2.5,1.00,-4.2 to -0.7%
Erynnis juvenalis,-1.2,0.91,-3.1 to 0.7%
Erynnis martialis,-2.1,1.00,-4.1 to -0.5%
Erynnis persius,-0.6,0.71,-2.9 to 1.8%
Euchloe olympia,0.0,0.50,-2.8 to 2.6%
Euphydryas phaeton,-4.0,1.00,-5.9 to -1.9%
Euphyes bimacula,-1.1,0.90,-2.9 to 0.6%
Euphyes conspicua,-3.7,1.00,-5.4 to -2.0%
Euphyes dion,-1.7,0.99,-3.1 to -0.3%
Euphyes dukesi,-0.3,0.62,-2.2 to 1.6%
Euphyes vestris,-1.6,1.00,-2.8 to -0.4%
Euptoieta claudia,-0.7,0.85,-2.3 to 0.6%
Eurema lisa,-1.2,0.95,-2.6 to 0.3%
Eurema nicippe,-1.0,0.87,-2.5 to 0.6%
Eurytides marcellus,-0.8,0.83,-2.4 to 0.8%
Everes comyntas,-1.2,0.97,-2.7 to 0.0%
Feniseca tarquinius,-2.2,1.00,-3.7 to -0.7%
Glaucopsyche lygdamus,-0.3,0.60,-2.3 to 1.9%
