Scientific Name,Functional Group,Functional and Family Group,Residency,Voltinism,Specificity,Prevalence
Achalarus lyciades,Resident Specialist,Resident Specialist HesPap,Resident,Multivoltine,Specialist,Rare
Amblyscirtes hegon,Resident Specialist,Resident Specialist HesPap,Resident,Multivoltine,Specialist,
Amblyscirtes vialis,Resident Specialist,Resident Specialist HesPap,Resident,Multivoltine,Specialist,
Anatrytone logan,Resident Specialist,Resident Specialist HesPap,Resident,Multivoltine,Specialist,Common
Ancyloxypha numitor,Resident Specialist,Resident Specialist HesPap,Resident,Multivoltine,Specialist,Common
Anthocharis midea,Resident Specialist,Resident Specialist LycNymPieRio,Resident,Multivoltine,Specialist,
Asterocampa celtis,Resident Specialist,Resident Specialist LycNymPieRio,Resident,Multivoltine,Specialist,
Asterocampa clyton,Resident Specialist,Resident Specialist LycNymPieRio,Resident,Multivoltine,Specialist,
Atalopedes campestris,Migratory,Migratory,Migrant,Multivoltine,Specialist,
Atrytone arogos,Resident Specialist,Resident Specialist HesPap,Resident,Multivoltine,Specialist,Rare
Atrytonopsis hianna,Resident Specialist,Resident Specialist HesPap,Resident,Multivoltine,Specialist,Rare
Battus philenor,Resident Specialist,Resident Specialist HesPap,Resident,Multivoltine,Specialist,
Boloria bellona,Resident Specialist,Resident Specialist LycNymPieRio,Resident,Multivoltine,Specialist,Common
Boloria selene,Migratory,Migratory,Migrant,Multivoltine,Generalist,
Calephelis borealis,Resident Univoltine,Resident Univoltine LycNymPieRio,Resident,Univoltine,Specialist,Rare
Calephelis mutica,Resident Specialist,Resident Specialist LycNymPieRio,Resident,Multivoltine,Specialist,Rare
Callophrys augustinus,Resident Generalist,Resident Generalist LycNymPieRio,Resident,Multivoltine,Generalist,
Callophrys gryneus,Resident Specialist,Resident Specialist LycNymPieRio,Resident,Multivoltine,Specialist,
Callophrys henrici,Resident Univoltine,Resident Univoltine LycNymPieRio,Resident,Univoltine,Generalist,Rare
Callophrys irus,Resident Univoltine,Resident Univoltine LycNymPieRio,Resident,Univoltine,Specialist,Rare
Callophrys niphon,Resident Univoltine,Resident Univoltine LycNymPieRio,Resident,Univoltine,Specialist,Rare
Callophrys polios,Resident Univoltine,Resident Univoltine LycNymPieRio,Resident,Univoltine,Specialist,Rare
Calycopis cecrops,Resident Specialist,Resident Specialist LycNymPieRio,Resident,Multivoltine,Specialist,
Carterocephalus palaemon,Resident Specialist,Resident Specialist HesPap,Resident,Multivoltine,Specialist,Rare
Celastrina ladon,Resident Generalist,Resident Generalist LycNymPieRio,Resident,Multivoltine,Generalist,Common
Cercyonis pegala,Resident Univoltine,Resident Univoltine LycNymPieRio,Resident,Univoltine,Generalist,Common
Chlosyne gorgone,Resident Generalist,Resident Generalist LycNymPieRio,Resident,Multivoltine,Generalist,
Chlosyne harrisii,Resident Univoltine,Resident Univoltine LycNymPieRio,Resident,Univoltine,Specialist,
Chlosyne nycteis,Resident Specialist,Resident Specialist LycNymPieRio,Resident,Multivoltine,Specialist,
Coenonympha tullia,Resident Generalist,Resident Generalist LycNymPieRio,Resident,Multivoltine,Generalist,
Colias cesonia,Migratory,Migratory,Migrant,Multivoltine,Specialist,
Colias eurytheme,Resident Specialist,Resident Specialist LycNymPieRio,Resident,Multivoltine,Specialist,
Colias eurytheme/philodice,Resident Specialist,Resident Specialist LycNymPieRio,Resident,Multivoltine,Specialist,Common
Colias interior,Resident Specialist,Resident Specialist LycNymPieRio,Resident,Multivoltine,Specialist,Rare
Colias philodice,Resident Specialist,Resident Specialist LycNymPieRio,Resident,Multivoltine,Specialist,
Cyllopsis gemma,Resident Specialist,Resident Specialist LycNymPieRio,Resident,Multivoltine,Specialist,Rare
Danaus plexippus,Migratory,Migratory,Migrant,Multivoltine,Generalist,Common
