Scientific name,Common name,Total count,Mean count,Mean count when detected,Median count,Median count when detected,Maximum count,Proportion of surveys detected
Achalarus lyciades,Hoary Edge,545,0,2.3,0,1,23,0.004
Amblyscirtes hegon,Pepper and Salt Skipper,173,0,1.7,0,1,8,0.002
Amblyscirtes vialis,Common Roadside-Skipper,818,0,2.4,0,1,36,0.006
Anatrytone logan,Delaware Skipper,13877,0.2,5.3,0,2,191,0.045
Ancyloxypha numitor,Least Skipper,69658,1.2,6,0,2,351,0.202
Anthocharis midea,Falcate Orangetip,149,0,2.8,0,2,15,0.001
Asterocampa celtis,Hackberry Emperor,49113,0.9,9.8,0,2,5252,0.087
Asterocampa clyton,Tawny Emperor,5995,0.1,4.7,0,1,644,0.022
Atalopedes campestris,Sachem,4583,0.1,4.9,0,2,185,0.016
Atrytone arogos,Arogos Skipper,368,0,21.6,0,5,147,0
Atrytonopsis hianna,Dusted Skipper,548,0,3.7,0,2,47,0.003
Battus philenor,Pipevine Swallowtail,11806,0.2,7.2,0,2,484,0.028
Boloria bellona,Meadow Fritillary,22999,0.4,6.7,0,2,362,0.06
Boloria selene,Silver-bordered Fritillary,5772,0.1,7,0,3,153,0.014
Calephelis borealis,Northern Metalmark,694,0,10.5,0,3,61,0.001
Callophrys augustinus,Brown Elfin,59,0,2.7,0,2,6,0
Callophrys gryneus,Juniper Hairstreak,437,0,2.1,0,1,22,0.004
Callophrys henrici,Henry's Elfin,80,0,2.1,0,1,10,0.001
Callophrys irus,Frosted Elfin,184,0,5,0,2,27,0.001
Callophrys niphon,Eastern Pine Elfin,400,0,7.1,0,2,71,0.001
Callophrys polios,Hoary Elfin,570,0,13.6,0,7,142,0.001
Calephelis mutica,Swamp Metalmark,294,0,7.5,0,3,45,0.001
Calycopis cecrops,Red-banded Hairstreak,732,0,2.6,0,1,30,0.005
Carterocephalus palaemon,Arctic Skipper,596,0,6.7,0,2,63,0.002
Celastrina ladon,Spring Azure,105914,1.8,6.9,0,3,581,0.266
Cercyonis pegala,Common Wood-Nymph,173730,3,15.1,0,4,894,0.2
Chlosyne gorgone,Gorgone Checkerspot,3660,0.1,14.1,0,2,1257,0.004
Chlosyne harrisii,Harris' Checkerspot,1135,0,6,0,2,104,0.003
Chlosyne nycteis,Silvery Checkerspot,16753,0.3,6.4,0,2,708,0.046
Coenonympha tullia,Common Ringlet,4788,0.1,10.7,0,3,507,0.008
